"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"641875",793845,593483,481664,780873,698672
"642190",73917,719623,302426,56879,481664
"642247",793845,481664,729317,705423,253792
"643845",729317,481664,601882,793845,735973
"645568",793845,705423,595990,735973,575615
"645579",793845,705423,729317,735973,481664
"647264",793845,481664,601882,571130,245927
"650232",481664,729317,656268,73917,245927
"650245",729317,793845,481664,735973,642190
"652575",481664,652660,108890,255809,754020
"652660",350271,613110,593483,705423,590386
"652888",481664,735973,350271,793845,729317
"653459",793845,593483,742634,478448,729317
"653596",793845,705423,735973,481664,350271
"654931",793845,481664,702124,415619,593483
"655216",793845,481664,702124,415619,593483
"656268",481664,705423,735973,729317,698672
"658049",705423,481664,793845,570478,700993
"660856",729317,793845,481664,735973,350271
"663390",793845,593483,481664,705423,729317
"663697",729317,481664,528227,593483,793845
"664697",705423,481664,784277,83498,517092
"665134",729317,735973,793845,481664,705423
"665250",793845,481664,550783,245927,729317
"666142",793845,744659,593483,478448,735973
"667305",698672,481664,793845,595990,735973
"667333",481664,729317,714243,735973,73208
"667928",481664,793845,593483,450767,735973
"669729",793845,350271,481664,73917,729317
"670745",705423,793845,593483,481664,729317
"670828",481664,705423,793845,656268,593483
"673453",793845,729317,481664,735973,595990
"675673",729317,481664,793845,551495,735973
"675886",481664,415619,729317,418901,621108
"676922",705423,481664,779297,729317,350271
"678393",481664,570753,595990,582030,735973
"679838",793845,593483,528227,601882,729317
"681038",481664,729317,350271,601882,735973
"682461",793845,593483,729317,481664,735973
"682748",793845,481664,593483,735973,705423
"683431",793845,593483,735973,481664,595990
"685990",793845,593483,729317,735973,437757
"686018",793845,729317,481664,735973,551495
"689623",793845,481664,729317,735973,698672
"690757",793845,481664,729317,593483,406794
"692906",481664,705423,729317,379885,342540
"693432",793845,481664,735973,729317,551495
"693675",705423,729317,481664,735973,350271
"694850",729317,73917,481664,108890,652660
"696113",481664,729317,735973,582121,595990
"698672",788351,601882,286374,589194,705423
"699991",481664,793845,291637,593483,735973
"700797",593483,793845,705423,481664,350271
"700901",793845,705423,593483,735973,481664
"700993",793845,729317,735973,481664,73917
"702120",729317,705423,481664,73917,785432
"702124",481664,729317,255809,705423,735973
"702894",793845,729317,735973,652660,481664
"703616",481664,705423,735973,350271,551495
"705423",779175,755431,168769,52490,608432
"705509",793845,481664,705423,551495,101618
"705935",593483,481664,793845,645568,735973
"706170",793845,729317,481664,735973,705423
"708528",793845,481664,245927,735973,656268
"713557",793845,593483,729317,350271,705423
"713715",73917,481664,735973,705423,793845
"714243",705423,601882,481664,593483,171631
"714520",729317,793845,481664,212050,652660
"714884",481664,551495,729317,517092,793845
"715799",481664,350271,783348,793845,656268
"715856",481664,729317,735973,601882,255809
"716107",481664,729317,742160,350271,705423
"716781",481664,387644,58211,75444,656268
"719623",642190,593483,735973,481664,595990
"721291",481664,793845,735973,653459,729317
"721897",793845,481664,729317,735973,253792
"722997",481664,788351,705423,601882,350271
"724346",481664,350271,719623,83498,370870
"728144",793845,735973,481664,593483,729317
"728145",793845,729317,593483,735973,73917
"728527",793845,550783,595990,735973,729317
"728713",481664,809177,431635,696113,730965
"729260",481664,593483,431635,613088,793845
"729317",272597,528227,588020,550783,637742
"729395",793845,729317,350271,735973,666142
"730916",481664,793845,735973,729317,656268
"730965",793845,729317,593483,705423,350271
"731834",481664,729317,793845,593483,293514
"732509",705423,481664,551495,793845,350271
"733654",481664,729317,705423,350271,593483
"734886",481664,793845,245927,705423,729317
"735973",601882,406794,682461,784644,62801
"740374",481664,293514,350271,729317,619662
"740616",793845,735973,593483,481664,729317
"740995",793845,481664,735973,652660,350271
"741043",593483,729317,481664,793845,350271
"741398",793845,705423,735973,729317,517092
"742160",593483,716107,729317,698672,481664
"742634",608432,245927,705423,601882,481664
"744158",793845,593483,245927,481664,570478
"744386",793845,593483,481664,729317,735973
"744520",793845,593483,481664,729317,735973
"744574",793845,729317,481664,735973,406794
"744659",666142,705423,481664,601882,793845
"746067",481664,735973,793845,613088,118097
"746807",793845,481664,350271,528227,73917
"747847",481664,656268,705423,550783,729317
"750743",705423,481664,729317,793845,601882
"751774",481664,601882,793845,593483,551495
"753720",735973,481664,729317,350271,793845
"754020",793845,593483,528227,350271,675886
"754613",793845,481664,729317,593483,735973
"755431",705423,601882,481664,582280,483779
"755982",793845,481664,642190,779297,350271
"758475",481664,735973,705423,350271,418901
"758600",705423,481664,735973,307497,729317
"759060",729317,481664,735973,343094,551495
"759299",729317,735973,481664,450767,550783
"759402",793845,343094,481664,593483,735973
"760035",481664,729317,705423,350271,245927
"760599",793845,593483,481664,729317,735973
"761411",729317,793845,735973,481664,642190
"768274",481664,705423,729317,793845,593483
"768737",793845,593483,675886,729317,601882
"770281",481664,293514,108890,794322,675886
"771217",705423,793845,481664,645568,729317
"771343",793845,517092,735973,593483,550783
"771758",593483,652660,735973,350271,258273
"772511",481664,735973,73917,663390,350271
"775655",481664,729317,362458,800723,350271
"776288",793845,652660,705423,735973,481664
"778820",481664,793845,73917,729317,735973
"779175",793845,705423,735973,729317,481664
"779225",593483,363678,601882,590681,793845
"779297",793845,729317,705423,342540,481664
"780674",481664,793845,652660,705423,415619
"780873",481664,729317,793845,43980,595990
"781253",793845,593483,481664,613088,735973
"782254",481664,705423,793845,276275,182839
"783348",793845,735973,729317,593483,481664
"784277",481664,793845,601882,418901,245927
"784543",793845,729317,481664,705423,593483
"784644",793845,481664,735973,350271,601882
"785432",793845,481664,729317,735973,705423
"787331",481664,601882,793845,591951,350271
"788351",793845,698672,550783,595990,350271
"789630",705423,481664,593483,613088,793845
"789743",793845,735973,350271,481664,593483
"791690",481664,793845,83498,656268,779297
"793499",481664,593483,418901,406794,729317
"793845",779175,530136,515088,188347,570753
"794322",705423,729317,735973,97221,551495
"794927",793845,705423,785432,735973,551495
"796683",481664,551495,793845,705423,350271
"798189",593483,481664,350271,705423,793845
"798941",350271,593483,729317,481664,595990
"800095",793845,481664,735973,705423,729317
"800723",729317,481664,593483,735973,350271
"801544",593483,481664,729317,705423,793845
"802052",735973,481664,729317,656268,406794
"805368",793845,705423,481664,729317,735973
"807269",793845,705423,350271,729317,481664
"807531",481664,272597,593483,307470,735973
"809177",698672,705423,735973,481664,729317
"810730",481664,729317,593483,793845,595990
"811651",735973,656268,551495,481664,793845
"814991",705423,793845,481664,735973,350271
"815050",481664,793845,735973,553514,595990
"815872",729317,735973,481664,595990,705423
"816048",481664,293514,76668,666142,714243
