"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"4976553","771217","552145","171054","601882","528022"
"5011601","505012","564826","189754","658049","286500"
"5022420","609202","552145","247805","80635","198307"
"5023084","69042","305809","236632","247805","700797"
"5037898","38266","730965","198307","460469","608432"
"5039682","410998","516482","460469","563682","621108"
"5039919","69042","735973","68873","168769","277011"
"5044001","730965","589194","350271","400325","331946"
"5058598","276275","237017","589194","713715","286500"
"5062046","410998","714520","516482","543932","107972"
"5064424","564826","276275","589194","254104","305200"
"5093231","809177","290701","590236","652575","690757"
"5127223","533623","255809","589194","570753","387644"
"5134169","768737","255809","221922","740374","361342"
"5134833","656268","683431","608432","291752","311694"
"5155963","69042","564826","445345","568446","698672"
"5196152","408794","608432","252080","308028","785432"
"5207679","552145","175989","193038","768274","137026"
"5268852","771217","255809","593101","713715","68873"
"5290998","460469","561022","221922","431635","694850"
"5299179","221922","742160","68873","276275","80635"
"5330753","193038","714520","80635","198307","619662"
"5336046","621108","771343","342540","137026","361342"
"5351733","38266","284319","742160","445345","69042"
"5379475","637742","706170","734886","175989","460469"
"5384133","485237","667333","621108","331946","601498"
"5385464","222516","410998","589237","690757","400325"
"5399286","408794","706170","568446","68873","168769"
"5403147","38266","564826","533623","175989","255809"
"5412054","772511","706170","533623","107195","665134"
"5435558","237017","716107","400325","746807","107972"
"5445555","485237","706170","698672","807269","314235"
"5446448","564826","552145","175989","623734","400325"
"5461945","350271","624485","683431","277011","310722"
"5484579","221922","809177","564826","254104","624485"
"5495353","286374","772511","69042","198307","327285"
"5513568","69042","276275","609202","286374","198307"
"5527039","410998","237017","291752","379143","713715"
"5537923","690757","568446","467103","311694","53692"
"5558015","612698","552145","621108","553514","570753"
"5560205","68873","410998","175989","193038","632434"
"5574416","460469","387644","563682","729395","357980"
"5582413","528227","96048","768737","517092","624485"
"5604808","222516","730965","589194","247805","746807"
"5619477","667333","361342","624485","553514","495862"
"5646154","590236","716107","107195","68873","608432"
"5646772","609202","589194","516482","621108","702894"
"5647495","96048","175989","193038","705423","314235"
"5667389","771217","735973","589237","568446","68873"
"5669252","533623","589194","683431","387644","702894"
"5681109","221922","68873","503629","460469","255809"
"5694124","564826","290701","175989","193038","742634"
"5706763","284319","505012","809177","276275","286500"
"5719622","445345","568446","619662","68873","277011"
"5720466","96048","410998","255809","705423","778820"
"5732915","533623","516482","361342","601882","189754"
