"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"2856748","640062","367107","97476","222516","240191"
"2865695","485237","48076","107195","533623","600983"
"2868026","55256","171631","378523","505650","760035"
"2871270","226121","291752","514946","783348","236632"
"2871930","193038","582135","788351","356424","528594"
"2900177","670745","69042","305809","308028","638555"
"2912814","29051","608432","503629","561713","44129"
"2923773","570753","175989","478448","780873","612698"
"2924208","740995","591951","379143","771758","730965"
"2941133","284319","779175","588020","2818","53692"
"2944771","2818","742160","744520","690757","319985"
"2952948","570753","791690","101618","265349","276275"
"2957606","43980","595990","746807","236632","700901"
"2965087","310722","640623","53692","219276","367491"
"2969181","350271","572208","507598","46386","314082"
"2969256","434097","528227","640062","771758","255202"
"2976221","55807","364728","367491","627213","744386"
"2991842","53692","286500","744574","50515","80635"
"3000454","340994","555399","675886","445345","784543"
"3026717","189754","582382","613088","703616","590236"
"3042726","656268","653596","364728","734886","200461"
"3043156","652660","702120","606871","366438","732509"
"3061513","50518","670745","254800","361342","789743"
"3071046","415619","565735","742160","575615","793845"
"3080120","250751","623123","628465","96048","306852"
"3085202","658049","307497","700797","80635","437757"
"3093794","621108","62801","571130","715799","652575"
"3122261","361342","48076","387644","612698","640062"
"3133489","432233","27886","700993","582135","670828"
"3146037","699991","240191","590236","80635","310722"
"3146203","254104","96048","357980","689623","582030"
"3181427","665134","620056","667928","741398","807531"
"3192554","52490","728144","222516","784543","760599"
"3204169","27886","252080","640062","702124","714243"
"3217422","517092","652575","788351","327285","758600"
"3224082","759060","442105","665134","25428","75444"
"3241444","320689","600983","816048","670745","698672"
"3241922","107195","445345","694850","716781","319985"
"3260074","50515","650232","742160","793499","481664"
"3260805","809177","581869","255809","331946","396125"
"3278419","632434","741043","784543","190943","742634"
"3279032","69042","652575","305809","744659","753720"
"3281295","379885","418098","422044","434097","593101"
"3287406","64736","309436","366438","56879","311584"
"3308880","528594","608432","620056","582028","141708"
"3314075","533623","593101","283621","254800","627213"
"3315379","282269","189754","728527","728713","69042"
"3327797","655216","444935","366438","165833","544506"
"3341071","679838","489832","43109","97476","165833"
"3356377","286500","744574","489832","788351","184282"
"3375808","237017","675886","782254","656268","200461"
"3386366","152280","582135","613110","770281","367107"
"3399045","495862","742634","700901","793845","681038"
"3441513","311584","570753","744520","200461","445660"
"3466926","728713","740995","379143","62015","97476"
"3477524","253792","740374","744659","784277","446999"
"3478967","698672","807269","667333","50515","590236"
"3492012","171631","771758","277011","311584","796683"
"3505809","68873","277011","310722","772511","357980"
"3505991","809177","640062","203658","27886","55256"
"3544416","44391","809177","212050","378523","498514"
"3545120","690757","50515","162467","555225","703616"
"3556952","678393","754020","781253","444935","236632"
"3576778","63872","744520","301220","384909","444935"
"3590237","91535","311694","345397","682748","505804"
"3595270","240191","693432","107972","693675","158466"
"3597538","255177","582028","734886","771217","200461"
"3601645","345397","579851","565735","660856","728527"
"3608337","446999","236632","291752","571130","286374"
"3628337","729395","73208","290701","302426","740995"
"3631890","302426","505804","682748","213371","685990"
"3644216","669729","515088","667928","754020","800723"
"3644637","503629","582030","44391","82482","272597"
"3647272","673453","478448","222516","356424","772511"
"3651457","69042","96048","807531","308028","555225"
"3653201","75382","80635","379143","626872","702120"
"3663776","590236","730965","771758","740995","277011"
"3680046","50515","55703","450767","293337","485237"
"3718408","572208","307497","660856","811651","345397"
"3723952","64736","366438","664697","97221","606871"
"3724795","665134","667305","758600","760599","561022"
"3758910","69042","97476","620056","294468","130390"
"3765319","700797","247805","418098","530136","700993"
"3766012","255809","784543","642247","91535","505804"
"3788782","56879","744158","190943","293337","255202"
"3821129","772511","277011","55621","719623","310722"
"3825509","272597","55709","608432","700797","721291"
"3846003","771343","319985","44391","700901","327285"
"3855104","130390","760035","665134","179528","505804"
"3886540","515088","634170","650245","721291","308028"
"3886755","775655","779297","91535","265349","205759"
"3892074","673453","796683","772511","311124","118097"
"3892282","44129","693432","724346","552145","370870"
"3955041","431206","700901","784277","632434","193038"
"3960806","97476","442105","612698","650245","528022"
"3977053","698672","283170","286374","755982","788351"
"3984496","787331","75444","115795","656268","796683"
"4017740","485237","141708","498514","582028","683431"
"4046204","642247","277011","582121","653596","705509"
"4046972","584938","807269","169356","308028","396125"
"4056223","715799","53692","284319","171631","265349"
"4084012","82482","700797","255809","561022","667305"
"4097500","768274","290701","236632","652888","702120"
"4100482","255809","272597","593101","793499","623734"
"4100544","350271","667333","50570","474452","698672"
"4106698","637742","205759","800095","361342","582028"
"4108308","356424","53692","255177","446999","760035"
"4117053","612698","640623","97476","272597","623652"
"4155386","640623","293514","667333","590236","700797"
"4156667","589194","634170","544506","357980","484836"
"4165820","474452","627213","796683","634170","55621"
"4175055","205759","396125","498514","730965","75382"
"4179993","286374","80635","205759","240191","800095"
"4180511","582382","807269","255202","692906","708528"
"4187551","379143","314235","613088","47061","396125"
"4188252","706170","781253","69042","50570","305809"
"4189952","120872","443698","50570","55868","418901"
"4193761","255809","654931","274688","293514","442105"
"4198054","642190","667305","48076","291637","304189"
"4202425","422044","784277","42970","462341","505012"
"4252277","667333","179528","779175","771217","50523"
"4260264","107972","503629","485237","612698","431635"
"4272620","742160","572208","744520","631543","564826"
"4280207","38266","306852","422044","632434","650245"
"4281147","730965","327285","63872","600983","715799"
"4286813","84057","443698","57978","623123","730965"
"4309450","546221","320689","601498","73208","742160"
"4314129","189754","744520","311584","740995","396125"
"4330819","165833","311694","779225","700797","402353"
"4363352","771343","744520","56879","551495","809177"
"4364462","387644","581869","690757","434097","696113"
"4369217","543932","199844","619662","729260","293514"
"4380449","64769","311584","357980","730965","199844"
"4381542","408794","735973","97221","184282","450767"
