"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"722997",593483,705423,481664,793845,729317
"724346",593483,705423,481664,793845,729317
"728144",593483,705423,481664,793845,729317
"728145",593483,705423,481664,793845,729317
"728527",593483,705423,481664,793845,729317
"728713",593483,705423,481664,793845,729317
"729260",593483,705423,481664,793845,729317
"729317",593483,705423,481664,550783,551495
"729395",593483,705423,481664,793845,729317
"730916",593483,705423,481664,793845,729317
"730965",593483,705423,481664,793845,729317
"731834",593483,705423,481664,793845,729317
"732509",593483,705423,481664,793845,729317
"733654",593483,705423,481664,793845,729317
"734886",593483,705423,481664,793845,729317
"735973",593483,705423,481664,550783,551495
"740374",593483,705423,481664,793845,729317
"740616",593483,705423,481664,793845,729317
"740995",593483,705423,481664,793845,729317
"741043",593483,705423,481664,793845,729317
"741398",593483,705423,481664,793845,729317
"742160",593483,705423,481664,793845,729317
"742634",593483,705423,481664,793845,729317
"744158",593483,705423,481664,793845,729317
"744386",593483,705423,481664,793845,729317
"744520",593483,705423,481664,793845,729317
"744574",593483,705423,481664,793845,729317
"744659",593483,705423,481664,793845,729317
"746067",593483,705423,481664,793845,729317
"746807",593483,705423,481664,793845,729317
"747847",593483,705423,481664,793845,729317
"750743",593483,705423,481664,793845,729317
"751774",593483,705423,481664,793845,729317
"753720",593483,705423,481664,793845,729317
"754020",593483,705423,481664,793845,729317
"754613",593483,705423,481664,793845,729317
"755431",593483,705423,481664,793845,729317
"755982",593483,705423,481664,793845,729317
"758475",593483,705423,481664,793845,729317
"758600",593483,705423,481664,793845,729317
"759060",593483,705423,481664,793845,729317
"759299",593483,705423,481664,793845,729317
"759402",593483,705423,481664,793845,729317
"760035",593483,705423,481664,793845,729317
"760599",593483,705423,481664,793845,729317
"761411",593483,705423,481664,793845,729317
"768274",593483,705423,481664,793845,729317
"768737",593483,705423,481664,793845,729317
"770281",593483,705423,481664,793845,729317
"771217",593483,705423,481664,793845,729317
"771343",593483,705423,481664,793845,729317
"771758",593483,705423,481664,793845,729317
