"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"581869",481664,613088,729317,793845,350271
"582028",793845,481664,735973,729317,342540
"582030",793845,350271,481664,593483,735973
"582121",779175,481664,613110,307497,68873
"582135",793845,593483,735973,555399,481664
"582280",350271,793845,595990,642190,698672
"582382",481664,735973,729317,793845,744659
"584938",481664,793845,729317,735973,593483
"588020",481664,735973,729317,83498,530136
"588059",793845,593483,705423,735973,729317
"588116",793845,735973,779175,729317,350271
"588288",481664,350271,735973,793845,634170
"589194",481664,350271,793845,698672,478448
"589237",793845,705423,645568,735973,729317
"590236",735973,481664,793845,350271,343094
"590386",481664,729317,735973,645568,793845
"590681",481664,551495,793845,350271,779225
"591951",793845,729317,593483,784277,343094
"593101",793845,444935,437757,705423,174592
"593483",481664,483779,137026,291637,58211
"594474",481664,793845,350271,418901,73917
"595990",343094,366438,582280,570753,75382
"600983",793845,770281,601882,784277,302426
"601498",729317,793845,481664,593483,735973
"601882",481664,755431,350271,735973,634170
"606871",793845,350271,656268,593483,784277
"608432",742634,705423,793845,784543,673453
"609202",481664,735973,729317,793845,350271
"609250",793845,729317,343094,481664,735973
"612698",793845,481664,729317,350271,735973
"613088",793845,770281,415619,582121,581869
"613110",793845,652660,582121,793499,729317
"619662",793845,551495,593483,705509,705423
"620056",735973,593483,729317,83498,793845
"621108",481664,735973,350271,595990,793845
"623123",793845,729317,481664,705423,735973
"623652",793845,481664,705423,716107,350271
"623734",481664,350271,245927,729317,418901
"624485",481664,350271,735973,729317,793845
"626872",481664,793845,222516,539579,645568
"627188",784277,73917,356424,705509,50570
"627213",478448,793845,735973,158466,627188
"628465",481664,793845,729317,719623,735973
"629670",793845,729317,735973,642190,593483
"631543",481664,350271,735973,645568,793845
"632434",481664,735973,350271,608432,793845
"634170",793845,729317,705423,735973,593483
"637742",729317,481664,793845,755431,809177
"638555",481664,793845,735973,595990,517092
"639480",481664,755431,729317,793845,291637
"639981",481664,694850,793845,779225,735973
"640062",793845,481664,729317,141708,551495
"640623",481664,350271,245927,255809,793845
"641875",793845,593483,582121,652660,705423
"642190",75382,481664,582280,291637,84057
"642247",793845,481664,755431,729317,350271
"643845",75382,729317,481664,608432,350271
"645568",793845,593483,350271,705423,589237
"645579",793845,735973,729317,581869,705423
"647264",793845,571130,652660,462341,551495
"650232",481664,735973,350271,729317,793845
"650245",729317,793845,481664,735973,658049
"652575",481664,735973,608432,793845,551495
"652660",539579,350271,613110,481664,755431
"652888",735973,481664,350271,793845,245927
"653459",793845,593483,434097,478448,811651
"653596",793845,593483,350271,735973,729317
"654931",793845,406794,705423,415619,593483
"655216",793845,406794,705423,415619,593483
