"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"3590237","485237","713715","254104","310722","561022"
"3595270","505012","706170","807269","699991","221922"
"3597538","505012","570753","642247","80635","120872"
"3601645","408794","621108","624485","619662","608432"
"3608337","38266","460469","255809","561022","107972"
"3628337","284319","632434","80635","570753","571029"
"3631890","533623","705423","314235","361342","601882"
"3644216","255809","175989","137026","43980","514946"
"3644637","528227","212050","568446","771343","570753"
"3647272","175989","214531","601882","390894","2818"
"3651457","221922","255809","700797","254104","314235"
"3653201","485237","771758","713715","621108","291752"
"3663776","564826","705423","778820","445345","807269"
"3680046","706170","171054","624485","601882","780873"
"3718408","284319","445345","771217","387644","555225"
"3723952","564826","570753","387644","742634","595990"
"3724795","609202","730965","771758","589194","713715"
"3758910","730965","410998","175989","198307","624485"
"3765319","505012","665134","778820","38266","730965"
"3766012","276275","706170","724346","705423","107195"
"3788782","705423","311694","255202","390894","478448"
"3821129","68873","310722","50570","253650","568446"
"3825509","171054","445345","561022","38266","563682"
"3846003","91535","460469","624485","221922","489832"
"3855104","528227","768737","276275","247805","683431"
"3886540","367107","589194","460469","807269","311694"
"3886755","637742","503629","705423","193038","631543"
"3892074","38266","637742","367107","533623","171054"
"3892282","564826","683431","68873","310722","387644"
"3955041","171054","212050","247805","621108","619662"
"3960806","768737","193038","517092","568446","460469"
"3977053","276275","564826","445345","571029","563682"
"3984496","38266","772511","735973","255809","361342"
"4017740","485237","460469","237017","589194","286500"
"4046204","552145","327285","665134","742634","601882"
"4046972","564826","771217","714520","247805","713715"
"4056223","171054","621108","361342","742160","783348"
"4084012","609202","706170","724346","410998","533623"
"4097500","714520","254104","621108","568446","665134"
"4100482","637742","706170","771343","237017","342540"
"4100544","533623","189754","705423","460469","568446"
"4106698","212050","460469","685990","53671","489832"
"4108308","533623","568446","214531","570753","729317"
"4117053","38266","713715","568446","601882","768737"
"4155386","716107","400325","624485","553514","43980"
"4156667","68873","361342","277011","563682","771758"
"4165820","652575","460469","214531","655216","31080"
"4175055","286500","589194","120872","676922","219276"
"4179993","690757","331946","137026","805368","38266"
"4180511","80635","198307","700797","698672","570753"
"4187551","68873","80635","198307","543932","311584"
"4188252","528227","768737","564826","237017","690757"
"4189952","768737","68873","276275","533623","286500"
"4193761","564826","637742","809177","367107","706170"
"4198054","698672","595990","746807","390894","255202"
"4202425","564826","714520","254104","553514","613088"
"4252277","505012","237017","716107","705423","400325"
"4260264","408794","706170","564826","563682","667305"
"4272620","408794","713715","327285","568446","310722"
"4280207","771758","568446","780873","460469","783348"
"4281147","528227","564826","778820","705423","612698"
"4286813","564826","533623","237017","356424","770281"
"4309450","276275","237017","589194","460469","631543"
"4314129","68873","460469","698672","700797","570753"
"4330819","408794","564826","809177","771217","706170"
"4363352","222516","69042","460469","237017","495862"
"4364462","485237","589237","568446","310722","571029"
"4369217","768737","460469","387644","555225","729317"
"4380449","809177","771217","485237","564826","705423"
"4381542","96048","706170","735973","107195","237017"
"4387197","624485","683431","277011","310722","601882"
"4412129","716107","460469","683431","137026","107972"
"4415881","485237","714520","667305","783348","621108"
"4438302","612698","637742","609202","193038","80635"
"4443833","503629","276275","665134","168769","137026"
"4447646","38266","637742","503629","533623","171054"
"4456680","171054","237017","563682","742634","780873"
"4458062","38266","237017","713715","702894","729317"
"4459890","408794","168769","631543","606871","667305"
"4489932","564826","706170","189754","237017","665134"
"4502294","221922","68873","533623","632434","771758"
"4503528","612698","189754","742160","80635","698672"
"4505941","564826","778820","714520","658049","705423"
"4519705","665134","740374","515088","564826","222516"
"4521818","255809","198307","639480","38266","667305"
"4522084","460469","552145","807269","489832","730965"
"4532209","552145","568446","222516","570753","642247"
"4537149","69042","96048","632434","589237","568446"
"4579320","503629","237017","716107","652575","667333"
"4579810","724346","38266","564826","667333","621108"
"4616538","730965","410998","171054","667333","400325"
"4632845","445345","568446","69042","311694","467103"
"4641285","68873","564826","91535","623734","601882"
"4644013","528227","367107","533623","690757","568446"
"4651226","255809","771217","683431","495862","253650"
"4663170","68873","505012","564826","589194","137026"
"4668971","724346","68873","706170","768274","291752"
"4688823","408794","637742","327285","168769","291752"
"4690432","609202","237017","589237","713715","553514"
"4691280","68873","706170","361342","698672","193038"
"4715209","528227","38266","637742","361342","460469"
"4722235","286374","734886","624485","613088","742160"
"4726648","367107","564826","706170","410998","690757"
"4735650","730965","652575","568446","107972","782254"
"4765752","612698","276275","564826","237017","667333"
"4799505","606871","619662","286374","200461","656268"
"4827205","286374","410998","247805","107195","713715"
"4830630","356424","624485","543932","742634","601882"
"4831627","768737","276275","568446","683431","489832"
"4875280","742160","706170","705423","601882","214531"
"4891238","528227","485237","361342","665134","387644"
"4897970","637742","193038","631543","307497","528594"
"4901980","706170","533623","237017","80635","568446"
"4905127","706170","533623","570753","494433","120872"
"4935243","311694","342540","742634","68873","214531"
"4937229","533623","445345","212050","247805","807269"
"4938413","68873","732509","658049","664697","734886"
"4945128","91535","631543","543932","43980","528227"
"4959941","290701","624485","700797","289071","744520"
"4976553","552145","171054","327285","683431","619662"
"5011601","505012","564826","706170","714520","601882"
