"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"4502294",NA,NA,NA,NA,NA
"4503528","552145","494433","729395","253650","505650"
"4505941","729317","357980","740374","772511","84057"
"4519705","730965","307497","516482","700797","494433"
"4521818","528022","729317","700797","247805","418098"
"4522084","84057","301220","50515","742160","793499"
"4532209","772511","189754","744520","75382","530136"
"4537149",NA,NA,NA,NA,NA
"4579320","667333","174592","179528","779175","152280"
"4579810",NA,NA,NA,NA,NA
"4616538","361342","402353","91535","366438","544506"
"4632845","350271","770281","588059","784543","546221"
"4641285","311584","570753","445660","467103","247805"
"4644013","621108","588059","118117","255809","571130"
"4651226","632434","784543","311694","345397","679838"
"4663170","564826","27886","503629","639981","284319"
"4668971","706170","781253","165833","305809","489418"
"4688823","64736","366438","664697","422044","42970"
"4690432","361342","379143","46386","52490","728144"
"4691280","667333","179528","645579","700993","775655"
"4715209","551495","328723","357980","474452","543932"
"4722235","528227","291752","507598","612698","445345"
"4726648","724346","107972","370870","503629","796683"
"4735650","768737","184282","282269","434097","443698"
"4765752","271787","189754","638555","593101","631543"
"4799505","658049","489832","107195","593483","673453"
"4827205",NA,NA,NA,NA,NA
"4830630","772511","631543","543932","182839","328723"
"4831627","589237","205759","396125","498514","432233"
"4875280","356424","665134","784543","667928","741398"
"4891238",NA,NA,NA,NA,NA
"4897970","255177","570753","744158","49552","735973"
"4901980","533623","619662","730965","284319","728144"
"4905127",NA,NA,NA,NA,NA
"4935243","340994","27886","640062","702124","555399"
"4937229","698672","807269","489418","590236","759402"
"4938413","528594","498514","637742","396125","620056"
"4945128","367107","698672","807269","378523","68873"
"4959941","97476","286500","620056","44129","294468"
"4976553",NA,NA,NA,NA,NA
"5011601","713715","768274","289071","754020","780873"
"5022420","327285","265349","681038","62801","632434"
"5023084","42970","779225","682748","28871","213371"
"5037898","698672","807269","189754","582382","613088"
"5039682","563682","621108","533623","652575","258273"
"5039919",NA,NA,NA,NA,NA
"5044001","255202","793499","609250","686018","364728"
"5058598","327285","546221","564826","641875","320689"
"5062046","678393","742160","754020","781253","91535"
"5064424","221922","327285","522471","528594","582030"
"5093231","690757","553514","402353","626872","640623"
"5127223","256670","623734","693432","319985","350271"
"5134169","306852","422044","632434","115795","364728"
"5134833","621108","62801","118117","255809","571130"
"5155963","290701","699991","730965","771758","240191"
"5196152","624485","43980","55709","69042","721897"
"5207679","378523","650245","783348","200461","182839"
"5268852","572208","678393","754020","781253","483779"
"5290998","169356","198307","379885","801544","293337"
"5299179","276275","80635","198307","254104","601498"
"5330753","356424","188347","686018","784543","130390"
"5336046","190943","217692","396125","608432","627213"
"5351733","69042","612698","791690","84057","716107"
"5379475","55621","637742","724346","309436","771343"
"5384133","212050","729395","760035","291752","654931"
"5385464","107195","400325","665134","612698","310722"
"5399286","706170","237017","781253","179528","505650"
"5403147","284319","728144","779175","588020","53692"
"5412054","378523","63872","301220","384909","705509"
"5435558","568446","200461","43109","693675","620056"
"5445555","609202","507598","304189","816048","200461"
"5446448","327285","650232","640062","561022","675886"
"5461945",NA,NA,NA,NA,NA
"5484579","75444","250751","306852","441424","553216"
"5495353","27886","582028","715799","653459","666142"
"5513568","29051","73208","96048","118097","367491"
"5527039","255809","272597","582382","593101","731834"
"5537923",NA,NA,NA,NA,NA
"5558015","568446","350271","84057","162467","253650"
"5560205","53692","286500","744574","96048","50515"
"5574416","589237","593483","189754","643845","653596"
"5582413","624485","601882","357980","772511","721897"
"5604808","29051","73208","96048","118097","205759"
"5619477","200461","528022","609250","686018","44391"
"5646154","675886","782254","118302","200461","415619"
"5646772",NA,NA,NA,NA,NA
"5647495",NA,NA,NA,NA,NA
"5667389",NA,NA,NA,NA,NA
"5669252","683431","543932","623652","713715","199844"
"5681109","670745","582135","623734","43980","289071"
"5694124","331946","52490","728144","174592","444935"
"5706763",NA,NA,NA,NA,NA
"5719622","286500","165833","444935","600983","631543"
"5720466",NA,NA,NA,NA,NA
"5732915","240191","546221","55709","118117","713715"
